,area_id,area_type,year,Aggravated assault,All Crimes,Burglary,Larceny,Motor vehicle theft,Murder and nonnegligent manslaughter,Property crime,Rape (revised definition),Robbery,Violent crime,City,State
59983,1600000US5181072,region.place,2013,42.852770125497386,2669.1153963881243,177.53290480563209,1083.5629017447197,18.36547291092745,0.0,1279.4612794612794,0.0,12.243648607284973,55.09641873278236,Vienna,VA
59984,1600000US5181072,region.place,2014,48.40563925697344,2057.239668421371,84.7098686997035,871.3015066255218,24.20281962848672,0.0,980.214194953712,0.0,0.0,48.40563925697344,Vienna,VA
59992,1600000US5148968,region.place,2013,36.73769287288758,2681.8515797207942,140.8278226794024,1016.4095028165564,85.72128337007102,0.0,1242.9586088660299,36.73769287288758,18.36884643644379,91.84423218221895,Manassas Park,VA
59993,1600000US5148968,region.place,2014,72.21085569864003,2094.114815260561,138.40414008906006,734.1436996028402,42.122999157540015,0.0,914.6708388494403,18.052713924660008,42.122999157540015,132.38656878084007,Manassas Park,VA
60001,1600000US5129968,region.place,2013,27.155465037338768,7209.775967413442,271.55465037338763,2959.945689069925,169.7216564833673,0.0,3401.2219959266804,128.98845892735915,47.52206381534285,203.6659877800407,Front Royal,VA
60002,1600000US5129968,region.place,2014,19.98800719568259,5909.787460856819,126.59071223932308,2551.802251982144,119.92804317409555,0.0,2798.321007395563,106.60270504364048,26.65067626091012,153.2413885002332,Front Royal,VA
60010,1600000US5186160,region.place,2013,70.67137809187278,2736.9097333761647,77.0960488274976,1098.6186957918403,51.397365884998386,6.424670735624798,1227.1121105043367,25.6986829424992,38.5480244137488,141.34275618374556,Williamsburg,VA
60011,1600000US5186160,region.place,2014,109.71989157093068,2646.185620240093,45.178778882147924,1084.2906931715504,32.27055634439137,0.0,1161.7400283980894,6.4541112688782745,45.178778882147924,161.3527817219569,Williamsburg,VA
60019,1600000US5149784,region.place,2013,246.89565027957298,8089.463365042479,472.00639024036,2962.747803354877,196.0641928690726,0.0,3630.8183864643092,14.523273545857238,145.23273545857236,406.6516592840026,Martinsville,VA
60020,1600000US5149784,region.place,2014,210.67925899019244,6320.377769705777,406.82891391209597,2252.088630584817,138.0312386487468,14.529604068289142,2796.948783145659,43.58881220486741,87.17762440973482,355.9752996730839,Martinsville,VA
60027,1600000US5127200,region.place,2013,73.9809129244655,3536.287637789451,103.57327809425169,1435.2297107346305,51.786639047125846,7.398091292446548,1590.589627876008,29.59236516978619,66.58282163201896,177.5541910187172,Falls Church,VA
60028,1600000US5127200,region.place,2014,50.74670146440482,3465.2747571407863,115.99246049006815,1420.907641003335,57.99623024503408,0.0,1594.8963317384369,21.748586341887773,57.99623024503408,130.49151805132666,Falls Church,VA
60036,1600000US5163768,region.place,2013,123.88503468780969,2527.254707631318,115.62603237528907,966.3032705649156,33.036009250082586,0.0,1114.9653121902877,16.518004625041293,0.0,140.403039312851,Poquoson,VA
